x	Average_GainRate	All_Max_GainRate	All_Min_GainRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_GainRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_GainRate	Schmitz_Max_GainRate	Schmitz_Min_GainRate	InitialStateU_Becker	InitialStateM_Becker	Becker_GainRate	Becker_Max_GainRate	Becker_Min_GainRate	Line79_GainRate
33	2.29579159118362e-05	2.85677184781197e-05	1.72974041538481e-05	1652	1315	2.67055974932346e-05	1587	1412	1.97684618901121e-05	2.59461062307721e-05	1.72974041538481e-05	755	666	2.23996883521621e-05	2.85677184781197e-05	1.94779898714453e-05	2.85677184781197e-05
34	2.47175357314785e-05	3.46375109183458e-05	1.65657660913828e-05	1449	1169	2.23277716883855e-05	1375	1272	2.58467023172905e-05	3.20855614973262e-05	2.28163992869875e-05	651	562	2.59781331887594e-05	3.46375109183458e-05	1.65657660913828e-05	2.71076172404446e-05
35	2.27334182189149e-05	2.93215445687477e-05	1.27530687071577e-05	1304	1151	2.93215445687477e-05	1267	1236	1.91513069316124e-05	2.32137053716514e-05	1.54758035811009e-05	615	523	1.97274031563845e-05	2.55061374143153e-05	1.27530687071577e-05	2.710027100271e-05
36	2.47874601851129e-05	3.74767644060682e-05	1.49907057624273e-05	1436	1280	2.66262493855481e-05	1371	1439	2.43131534159981e-05	2.93188026487035e-05	1.93075041832926e-05	654	633	2.34229777537926e-05	3.74767644060682e-05	1.49907057624273e-05	1.79888469149128e-05
37	2.05378175155489e-05	2.65449139944787e-05	1.4157287463722e-05	1332	1187	2.20809044338456e-05	1224	1300	1.96238626169422e-05	2.32282455465846e-05	1.68204536716647e-05	554	567	1.9908685495859e-05	2.65449139944787e-05	1.4157287463722e-05	2.83145749274439e-05
38	2.28294039123345e-05	3.5329447094153e-05	1.76647235470765e-05	1291	1017	2.05039413131635e-05	1263	1197	2.19288031919023e-05	2.48397062704734e-05	1.94060205238073e-05	555	519	2.60554672319378e-05	3.5329447094153e-05	1.76647235470765e-05	2.82635576753224e-05
39	2.39136977934846e-05	3.45440189498618e-05	1.48045795499408e-05	1386	1202	2.12206094559036e-05	1287	1289	2.39956122309063e-05	2.59000259000259e-05	1.90441366911955e-05	596	566	2.65248716936439e-05	3.45440189498618e-05	1.48045795499408e-05	3.61889722331886e-05
40	2.4086505225868e-05	4.00515445965242e-05	1.79888469149128e-05	1308	1087	1.79888469149128e-05	1223	1198	2.44496817533228e-05	2.88586407580203e-05	2.00407227486252e-05	563	504	2.98209870093686e-05	4.00515445965242e-05	1.91550865461638e-05	3.30860585797374e-05
41	1.68681191460712e-05	2.9708853238265e-05	6.98064035740879e-06	1264	1090	6.98064035740879e-06	1220	1237	2.10945033751205e-05	2.41080038572806e-05	1.76792028286725e-05	495	565	2.25292137056843e-05	2.9708853238265e-05	1.38641315111903e-05	2.9708853238265e-05
42	3.12681020157481e-05	4.25640589086575e-05	6.68069612853659e-06	1382	1269	4.25640589086575e-05	1303	1401	2.57700931485411e-05	3.08488706303703e-05	2.03151099273171e-05	587	628	2.54701539900458e-05	3.67438287069513e-05	6.68069612853659e-06	2.17122624177439e-05
43	1.54929756447783e-05	3.19941496412085e-05	0	1146	1123	0	1085	1249	2.19119906026927e-05	2.89147917231409e-05	9.93945965482968e-06	429	565	2.45669363316422e-05	3.19941496412085e-05	1.59970748206042e-05	4.11353352529823e-05
44	1.7545929524086e-05	3.2249742002064e-05	1.0749914000688e-05	1056	1150	1.11408199643494e-05	1028	1249	2.02658884565499e-05	2.57495994506752e-05	1.8120088502327e-05	456	554	2.12310801513588e-05	3.2249742002064e-05	1.0749914000688e-05	2.36498108015136e-05
45	2.68441812609783e-05	3.84635109492794e-05	1.27323656735421e-05	1147	1259	3.84635109492794e-05	1111	1321	2.2061029632375e-05	2.647323555885e-05	1.588394133531e-05	539	569	2.00080032012805e-05	2.36458219651497e-05	1.27323656735421e-05	2.36458219651497e-05
46	1.61835930431689e-05	3.72300819061802e-05	2.56647161482394e-06	1146	1134	2.56647161482394e-06	1071	1200	2.21984218524011e-05	2.65465663389539e-05	1.92233756247597e-05	474	579	2.37858856622818e-05	3.72300819061802e-05	1.44783651857367e-05	3.30934061388268e-05
47	2.92537889132277e-05	4.57770656900893e-05	1.26943207561909e-05	1028	1088	4.57770656900893e-05	1004	1205	2.00179673463011e-05	2.34356690883525e-05	1.26943207561909e-05	424	535	2.19663337032926e-05	3.00591934887162e-05	1.3873473917869e-05	2.54347021827599e-05
48	3.66161682517493e-05	5.15027774712136e-05	1.47150792774896e-05	1092	1138	4.57875457875458e-05	1092	1237	3.18717230481936e-05	3.6809595633125e-05	2.69338504632622e-05	533	619	3.21892359195085e-05	5.15027774712136e-05	1.47150792774896e-05	2.57513887356068e-05
49	2.92095642263195e-05	4.41176470588235e-05	1.91640442185105e-05	991	1021	2.67109871193684e-05	972	1178	2.44593722262568e-05	2.72331154684096e-05	1.91640442185105e-05	400	521	3.64583333333333e-05	4.41176470588235e-05	2.94117647058824e-05	4.41176470588235e-05
50	3.00686855078598e-05	6.47428782833888e-05	1.61857195708472e-05	1014	1132	2.32045480914259e-05	938	1222	3.31849157573477e-05	4.59885446716e-05	2.29942723358e-05	424	547	3.38165926748058e-05	6.47428782833888e-05	1.61857195708472e-05	3.93081761006289e-05
51	2.09338147209925e-05	3.85412150118032e-05	5.65610859728507e-06	1040	1158	5.65610859728507e-06	979	1238	2.85405275491197e-05	3.70526147128923e-05	1.90270183660798e-05	407	590	2.86048080165727e-05	3.85412150118032e-05	1.20441296911885e-05	3.13147371970901e-05
52	2.01355077413958e-05	3.1041440322831e-05	1.29339334678462e-05	880	1016	1.33689839572193e-05	855	1122	2.40798073615411e-05	3.09597523219814e-05	1.49065474142874e-05	379	472	2.29577319054271e-05	3.1041440322831e-05	1.29339334678462e-05	4.1388587097108e-05
53	2.94640232262506e-05	5.65610859728507e-05	1.89676838087109e-05	856	1028	2.40516767454645e-05	827	1127	2.69696754155108e-05	3.5564407141333e-05	1.89676838087109e-05	364	505	3.73707175177763e-05	5.65610859728507e-05	2.96272355095885e-05	3.23206205559147e-05
54	2.20751143207018e-05	4.3630017452007e-05	1.28323580741197e-05	911	1086	1.93710854264867e-05	874	1199	2.43976309059093e-05	2.46780634450577e-05	2.35563332884641e-05	382	557	2.24566266297095e-05	4.3630017452007e-05	1.28323580741197e-05	1.53988296889436e-05
55	2.42306787113116e-05	2.93140512018761e-05	1.30284672008338e-05	822	1048	2.862458852154e-05	752	1162	2.24890488110138e-05	2.60742594910305e-05	1.82519816437213e-05	301	527	2.1578398801381e-05	2.93140512018761e-05	1.30284672008338e-05	2.93140512018761e-05
56	2.66597200065398e-05	3.32336324360253e-05	1.54149710198545e-05	801	1049	2.93750458985092e-05	767	1135	2.74816575913286e-05	3.32336324360253e-05	2.30078993787867e-05	318	532	2.31224565297817e-05	3.0829942039709e-05	1.54149710198545e-05	2.77469478357381e-05
57	2.25283237285715e-05	5.19210799584631e-05	1.15491222667077e-05	764	1106	1.15491222667077e-05	784	1171	2.28216286514606e-05	2.62605042016807e-05	2.12585034013605e-05	321	546	3.32142202675463e-05	5.19210799584631e-05	1.2216724696109e-05	2.44334493922179e-05
58	3.16981477575193e-05	4.40625688477638e-05	1.48095491973224e-05	801	981	4.40625688477638e-05	776	1087	2.40044471396806e-05	2.65312310491207e-05	2.27410551849606e-05	331	481	2.70274272851134e-05	3.25810082341094e-05	1.48095491973224e-05	2.07333688762514e-05
59	2.80293217657724e-05	3.94703335879806e-05	1.2216724696109e-05	795	972	3.32963374028857e-05	770	1088	3.05576776165011e-05	3.94703335879806e-05	2.54647313470843e-05	321	470	2.02339502779305e-05	3.05418117402724e-05	1.2216724696109e-05	3.97043552623542e-05
60	2.73747492142474e-05	4.32980763283231e-05	9.2781592132121e-06	800	1046	2.57352941176471e-05	756	1116	3.24203755576305e-05	3.63108206245461e-05	2.85299304907148e-05	317	547	2.39685779674646e-05	4.32980763283231e-05	9.2781592132121e-06	3.09271973773737e-05
61	2.04817370104324e-05	3.59477124183007e-05	9.80392156862745e-06	739	992	1.19398232906153e-05	740	1050	2.41785903550609e-05	2.91467938526762e-05	1.85479597244303e-05	300	504	2.53267973856209e-05	3.59477124183007e-05	9.80392156862745e-06	3.26797385620915e-05
62	3.0479095011967e-05	3.97456279809221e-05	1.08131487889273e-05	740	990	3.97456279809221e-05	750	1029	3.00653594771242e-05	3.66013071895425e-05	2.35294117647059e-05	272	457	2.16262975778547e-05	3.2439446366782e-05	1.08131487889273e-05	1.80219146482122e-05
63	2.74959592687527e-05	3.78286362776622e-05	1.26095454258874e-05	783	1059	3.38066260987153e-05	750	1123	2.38562091503268e-05	2.74509803921569e-05	2.09150326797386e-05	311	518	2.48250425572158e-05	3.78286362776622e-05	1.26095454258874e-05	2.20667044953029e-05
64	3.77080914194085e-05	4.70588235294118e-05	2.06543291473893e-05	750	969	4.70588235294118e-05	712	1006	2.92602996254682e-05	3.44238819123155e-05	2.06543291473893e-05	303	439	3.68051511033456e-05	4.529864751181e-05	2.9120559114735e-05	5.5005500550055e-05
65	3.61516855278602e-05	4.9243441668905e-05	1.70637875403326e-05	657	963	4.9243441668905e-05	632	1057	2.09419210722264e-05	2.48200546041201e-05	1.70637875403326e-05	285	466	3.82696938424493e-05	4.47196422428621e-05	3.43997248022016e-05	4.47196422428621e-05
66	2.50867071013183e-05	5.941770647653e-05	9.09173561232839e-06	647	1011	9.09173561232839e-06	591	1056	2.94449421054378e-05	3.64951395109651e-05	2.15653097110248e-05	297	507	3.67234435861887e-05	5.941770647653e-05	1.32039347725622e-05	3.96118043176867e-05
67	3.1063278125348e-05	5.44662309368192e-05	4.18971007206301e-06	648	922	5.44662309368192e-05	604	1038	2.35359044279964e-05	2.92169848071679e-05	2.11011556940657e-05	234	444	1.51876990112284e-05	2.51382604323781e-05	4.18971007206301e-06	2.09485503603151e-05
68	2.22503414107043e-05	3.96919901563864e-05	9.78760888714887e-06	601	861	9.78760888714887e-06	587	954	2.42175234659452e-05	2.83929585462805e-05	1.67017403213415e-05	247	386	3.27458918790188e-05	3.96919901563864e-05	1.58767960625546e-05	3.17535921251092e-05
69	2.59098821758679e-05	4.08496732026144e-05	1.38083402375035e-05	639	937	1.38083402375035e-05	654	1047	3.0730946812976e-05	4.04749055585537e-05	2.54841997961264e-05	288	492	3.31903594771242e-05	4.08496732026144e-05	2.72331154684096e-05	4.42538126361656e-05
70	3.47867129030195e-05	4.27687853664956e-05	8.10241451952682e-06	602	873	3.90854016025015e-05	596	939	3.74226871956836e-05	4.27687853664956e-05	2.79642058165548e-05	242	427	2.78520499108734e-05	3.64608653378707e-05	8.10241451952682e-06	3.64608653378707e-05
71	1.89986349193157e-05	2.94854784018871e-05	8.0757179313241e-06	610	858	1.44648023143684e-05	607	915	1.85741512420454e-05	2.58422973802371e-05	8.0757179313241e-06	266	432	2.39569512015332e-05	2.94854784018871e-05	1.47427392009435e-05	3.31711632021229e-05
72	2.33792931580537e-05	4.06801724839313e-05	8.13603449678627e-06	603	903	1.46327187591454e-05	603	927	2.80460442883621e-05	3.4143010438006e-05	1.95102916788606e-05	241	449	2.74591164266536e-05	4.06801724839313e-05	8.13603449678627e-06	2.03400862419657e-05
73	2.74491334500155e-05	5.3475935828877e-05	1.7825311942959e-05	605	865	1.94457948468644e-05	582	920	2.94791456101341e-05	3.36904521258675e-05	2.02142712755205e-05	220	377	3.34224598930481e-05	5.3475935828877e-05	1.7825311942959e-05	3.11942959001782e-05
74	2.98174400770282e-05	6.17894216510133e-05	1.64771791069369e-05	581	821	2.0249063480814e-05	575	907	3.36743393009378e-05	4.43307757885763e-05	2.0460358056266e-05	238	400	3.55289174493327e-05	6.17894216510133e-05	1.64771791069369e-05	4.53122425440765e-05
75	3.51235294607722e-05	4.77808451900616e-05	1.34916351861846e-05	554	927	4.77808451900616e-05	557	987	2.94821698877037e-05	3.69627204562256e-05	2.46418136374837e-05	218	452	2.81075733045512e-05	4.49721172872819e-05	1.34916351861846e-05	4.04749055585537e-05
76	2.55112799866162e-05	5.372011818426e-05	1.15114538966271e-05	511	746	1.15114538966271e-05	501	830	3.42452350201558e-05	3.91374114516066e-05	2.73961880161246e-05	219	395	3.07771510430656e-05	5.372011818426e-05	1.3430029546065e-05	2.686005909213e-05
77	2.02506749109799e-05	4.58906967042136e-05	8.34376303712975e-06	542	799	1.08530497069677e-05	510	861	2.64321414840446e-05	3.26797385620915e-05	2.11457131872357e-05	235	374	2.34668335419274e-05	4.58906967042136e-05	8.34376303712975e-06	3.75469336670839e-05
78	2.04326281770306e-05	5.76701268742791e-05	0	530	860	0	514	885	2.76569771877623e-05	4.38696879530022e-05	1.52590218966964e-05	204	378	3.36409073433295e-05	5.76701268742791e-05	1.92233756247597e-05	4.80584390618993e-05
79	1.70839401184424e-05	3.68964790217162e-05	6.57981313330701e-06	447	730	6.57981313330701e-06	433	808	2.49060363175293e-05	3.16985916768555e-05	1.35851107186524e-05	186	395	1.97659709044908e-05	3.68964790217162e-05	1.58127767235927e-05	1.05418511490618e-05
80	3.94562993905923e-05	5.1200364091478e-05	1.47058823529412e-05	517	755	5.1200364091478e-05	525	809	3.40802987861811e-05	4.66853408029879e-05	1.86741363211951e-05	200	365	3.30882352941177e-05	4.90196078431373e-05	1.47058823529412e-05	6.37254901960784e-05
81	3.97923235696584e-05	6.7947971267715e-05	1.75461683554854e-05	449	760	4.58535307218656e-05	447	812	2.74158880554459e-05	3.72856077554064e-05	1.75461683554854e-05	202	353	4.61075519316638e-05	6.7947971267715e-05	2.9120559114735e-05	4.8534265191225e-05
82	3.22219740081025e-05	5.7363370880267e-05	2.08594075928244e-05	461	682	3.18999617200459e-05	438	769	3.02175664786463e-05	3.581341212284e-05	2.46217208344525e-05	188	335	3.45483938256154e-05	5.7363370880267e-05	2.08594075928244e-05	5.21485189820609e-05
83	3.0857468773673e-05	5.33546752034147e-05	1.61857195708472e-05	441	722	2.66773376017074e-05	424	784	2.25443951165372e-05	2.77469478357381e-05	1.61857195708472e-05	147	347	4.33506736027744e-05	5.33546752034147e-05	3.33466720021342e-05	8.0032012805122e-05
84	3.89521324487378e-05	6.50260104041617e-05	5.00200080032013e-06	474	777	4.96401092082403e-05	493	794	3.03265322356123e-05	3.38066260987153e-05	2.78407509048244e-05	196	373	3.68897559023609e-05	6.50260104041617e-05	5.00200080032013e-06	4.0016006402561e-05
85	3.40227385412395e-05	5.17129928894635e-05	1.47058823529412e-05	455	752	5.17129928894635e-05	434	762	2.03307129303334e-05	2.25896810337038e-05	1.8071744826963e-05	200	349	3.00245098039216e-05	4.90196078431373e-05	1.47058823529412e-05	3.43137254901961e-05
86	2.31636963184272e-05	4.40625688477638e-05	1.1015642211941e-05	411	722	1.431229426077e-05	397	786	2.90166444411518e-05	3.21035215093594e-05	2.71645182002272e-05	178	346	2.61621502533598e-05	4.40625688477638e-05	1.1015642211941e-05	3.85547477417933e-05
87	3.51386756494573e-05	6.92041522491349e-05	9.22722029988466e-06	453	705	3.24633164524088e-05	425	784	3.11418685121107e-05	4.38292964244521e-05	9.22722029988466e-06	170	361	4.18108419838524e-05	6.92041522491349e-05	2.30680507497116e-05	2.88350634371396e-05
88	2.06702194446576e-05	6.05180343742435e-05	7.28013977868375e-06	404	700	7.28013977868375e-06	395	731	2.29585505088111e-05	3.47480764457682e-05	1.48920327624721e-05	162	343	3.17719680464778e-05	6.05180343742435e-05	1.81554103122731e-05	5.44662309368192e-05
89	3.36729865270354e-05	6.0146758089739e-05	1.80440274269217e-05	421	623	4.19170043314238e-05	426	699	2.30139003958391e-05	2.76166804750069e-05	2.07125103562552e-05	163	324	3.60880548538434e-05	6.0146758089739e-05	1.80440274269217e-05	4.81174064717912e-05
90	4.12412085450047e-05	6.67282619854225e-05	3.29728303877605e-05	446	711	3.29728303877605e-05	429	776	3.94213629507747e-05	4.57059280588692e-05	3.42794460441519e-05	191	332	5.13294322964788e-05	6.67282619854225e-05	3.59306026075352e-05	3.07976593778873e-05
91	3.08044220681574e-05	5.58451228592703e-05	1.24100273020601e-05	421	644	2.79446695542825e-05	415	666	3.18922749822821e-05	3.77982518308528e-05	2.12615166548547e-05	158	320	3.25763216679077e-05	5.58451228592703e-05	1.24100273020601e-05	3.72300819061802e-05
92	2.7408982240915e-05	4.07435701553349e-05	1.2569130216189e-05	392	645	3.00120048019208e-05	385	728	2.86478227654698e-05	4.07435701553349e-05	2.29182582123759e-05	156	301	2.35671191553545e-05	3.77073906485671e-05	1.2569130216189e-05	1.88536953242836e-05
93	3.6953862253678e-05	5.69259962049336e-05	1.18691544414376e-05	424	649	5.54938956714761e-05	413	715	2.84859706594502e-05	4.03551251008878e-05	1.18691544414376e-05	155	331	2.68817204301075e-05	5.69259962049336e-05	1.26502213788741e-05	2.53004427577483e-05
94	4.36221000620155e-05	7.58469576942525e-05	1.46327187591454e-05	349	639	7.58469576942525e-05	343	668	3.21557194306294e-05	3.71577202309495e-05	2.57245755445035e-05	134	283	2.28636230611648e-05	4.38981562774364e-05	1.46327187591454e-05	2.19490781387182e-05
95	3.28648410006685e-05	5.52333609500138e-05	6.90417011875173e-06	360	667	4.08496732026144e-05	356	687	2.75391055298524e-05	4.13086582947786e-05	8.26173165895572e-06	142	295	3.02057442695388e-05	5.52333609500138e-05	6.90417011875173e-06	4.83291908312621e-05
96	3.0066619945007e-05	5.88235294117647e-05	1.30718954248366e-05	381	654	2.31588698471515e-05	361	703	3.19102710336212e-05	3.5304980718049e-05	2.44419097278801e-05	150	349	3.51307189542484e-05	5.88235294117647e-05	1.30718954248366e-05	5.22875816993464e-05
97	2.00781050923223e-05	4.66853408029879e-05	0	321	576	0	331	637	2.81381434749126e-05	3.55429180735738e-05	2.07333688762514e-05	126	257	3.20961718020541e-05	4.66853408029879e-05	7.78089013383131e-06	6.22471210706505e-05
98	2.71838231587474e-05	5.3248136315229e-05	0	304	631	1.93498452012384e-05	313	671	3.44546764392658e-05	5.3248136315229e-05	2.50579465012842e-05	106	307	2.77469478357381e-05	4.62449130595634e-05	0	2.77469478357381e-05
99	4.32773404928408e-05	6.55415369490415e-05	6.95313586427479e-06	359	591	6.55415369490415e-05	334	639	4.25619349536222e-05	4.69648937419279e-05	4.10942820241869e-05	141	305	2.17285495758587e-05	3.47656793213739e-05	6.95313586427479e-06	3.47656793213739e-05
