x	Average_GainRate	All_Max_GainRate	All_Min_GainRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_GainRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_GainRate	Schmitz_Max_GainRate	Schmitz_Min_GainRate	InitialStateU_Becker	InitialStateM_Becker	Becker_GainRate	Becker_Max_GainRate	Becker_Min_GainRate	Line79_GainRate
1667	5.5202261084614e-07	1.32485426603074e-05	0	93	1	0	78	0	0	0	0	74	0	1.65606783253842e-06	1.32485426603074e-05	0	0
1668	1.0749914000688e-06	1.28998968008256e-05	0	95	1	0	76	0	3.2249742002064e-06	1.28998968008256e-05	0	68	1	0	0	0	0
1669	0	0	0	104	2	0	84	2	0	0	0	83	1	0	0	0	0
1670	6.09696614964394e-07	1.46327187591454e-05	0	102	0	0	79	0	0	0	0	67	1	1.82908984489318e-06	1.46327187591454e-05	0	0
1671	1.64815800628949e-06	1.44175317185698e-05	0	99	0	0	78	0	3.14228255404726e-06	1.2569130216189e-05	0	68	0	1.80219146482122e-06	1.44175317185698e-05	0	1.44175317185698e-05
1672	8.69141983034348e-07	1.04297037964122e-05	0	85	0	0	94	0	2.60742594910305e-06	1.04297037964122e-05	0	80	0	0	0	0	0
1673	0	0	0	92	0	0	80	0	0	0	0	69	0	0	0	0	0
1674	1.23786888492771e-06	1.48544266191325e-05	0	86	0	0	75	0	0	0	0	66	0	3.71360665478313e-06	1.48544266191325e-05	0	0
1675	4.64200831847891e-07	1.11408199643494e-05	0	103	0	0	86	0	0	0	0	88	2	1.39260249554367e-06	1.11408199643494e-05	0	0
1676	0	0	0	99	0	0	82	0	0	0	0	81	0	0	0	0	0
1677	0	0	0	100	0	0	75	1	0	0	0	69	0	0	0	0	0
1678	0	0	0	96	0	0	65	0	0	0	0	68	0	0	0	0	0
1679	1.02124183006536e-06	1.22549019607843e-05	0	105	0	0	80	0	3.06372549019608e-06	1.22549019607843e-05	0	75	0	0	0	0	0
1680	5.1062091503268e-07	1.22549019607843e-05	0	91	0	0	75	0	0	0	0	80	1	1.53186274509804e-06	1.22549019607843e-05	0	0
1681	0	0	0	94	0	0	81	0	0	0	0	81	0	0	0	0	0
1682	5.1062091503268e-07	1.22549019607843e-05	0	85	0	0	66	0	0	0	0	80	0	1.53186274509804e-06	1.22549019607843e-05	0	0
1683	0	0	0	85	1	0	67	0	0	0	0	81	1	0	0	0	0
1684	0	0	0	89	0	0	66	0	0	0	0	72	0	0	0	0	0
1685	5.67356572258533e-07	1.36165577342048e-05	0	98	1	0	87	0	0	0	0	72	0	1.7020697167756e-06	1.36165577342048e-05	0	0
1686	1.83594036865683e-06	1.1015642211941e-05	0	96	1	0	75	0	0	0	0	89	0	5.50782110597048e-06	1.1015642211941e-05	0	0
1687	2.40292195309496e-06	1.44175317185698e-05	0	91	0	0	68	0	7.20876585928489e-06	1.44175317185698e-05	0	90	0	0	0	0	1.08932461873638e-05
1688	0	0	0	85	1	0	84	0	0	0	0	74	0	0	0	0	0
1689	3.24123007442911e-06	2.686005909213e-05	0	92	0	0	77	0	6.36618283677107e-06	2.54647313470843e-05	0	73	1	3.35750738651625e-06	2.686005909213e-05	0	0
1690	0	0	0	89	1	0	72	0	0	0	0	75	1	0	0	0	0
1691	3.80259630734014e-06	1.58127767235927e-05	0	84	0	0	70	0	3.50140056022409e-06	1.40056022408964e-05	0	62	2	7.90638836179633e-06	1.58127767235927e-05	0	0
